"fips_code","county","date","total_outage","prev_outage"
12001,"Alachua","2023-08-26",490,NA
12001,"Alachua","2023-08-27",605.25,490
12001,"Alachua","2023-08-28",428.25,605.25
12001,"Alachua","2023-08-29",568.75,428.25
12001,"Alachua","2023-08-30",112240.25,568.75
12001,"Alachua","2023-08-31",144384,112240.25
12001,"Alachua","2023-09-01",24105,144384
12001,"Alachua","2023-09-02",3587.75,24105
12001,"Alachua","2023-09-03",4548.25,3587.75
12001,"Alachua","2023-09-04",185.25,4548.25
12001,"Alachua","2023-09-05",91.5,185.25
12001,"Alachua","2023-09-06",110.5,91.5
12001,"Alachua","2023-09-07",1262.75,110.5
12001,"Alachua","2023-09-08",585.5,1262.75
12001,"Alachua","2023-09-09",24.5,585.5
12001,"Alachua","2023-09-10",1339.5,24.5
12001,"Alachua","2023-09-11",118,1339.5
12001,"Alachua","2023-09-12",229.25,118
12001,"Alachua","2023-09-13",24.5,229.25
12003,"Baker","2023-08-26",48.25,NA
12003,"Baker","2023-08-27",14,48.25
12003,"Baker","2023-08-28",0,14
12003,"Baker","2023-08-29",14.25,0
12003,"Baker","2023-08-30",37877.5,14.25
12003,"Baker","2023-08-31",33935.75,37877.5
12003,"Baker","2023-09-01",3971,33935.75
12003,"Baker","2023-09-02",19.75,3971
12003,"Baker","2023-09-03",4,19.75
12003,"Baker","2023-09-04",2.75,4
12003,"Baker","2023-09-05",2,2.75
12003,"Baker","2023-09-06",101.5,2
12003,"Baker","2023-09-07",10.5,101.5
12003,"Baker","2023-09-08",10.75,10.5
12003,"Baker","2023-09-09",14,10.75
12003,"Baker","2023-09-10",37.5,14
12003,"Baker","2023-09-11",92.5,37.5
12003,"Baker","2023-09-12",0.75,92.5
12003,"Baker","2023-09-13",213.75,0.75
12005,"Bay","2023-08-26",17.5,NA
12005,"Bay","2023-08-27",10878,17.5
12005,"Bay","2023-08-28",176.75,10878
12005,"Bay","2023-08-29",468.75,176.75
12005,"Bay","2023-08-30",96.75,468.75
12005,"Bay","2023-08-31",216,96.75
12005,"Bay","2023-09-01",2928,216
12005,"Bay","2023-09-02",83.5,2928
12005,"Bay","2023-09-03",122,83.5
12005,"Bay","2023-09-04",1304.5,122
12005,"Bay","2023-09-05",283.25,1304.5
12005,"Bay","2023-09-06",52.5,283.25
12005,"Bay","2023-09-07",63,52.5
12005,"Bay","2023-09-08",1030,63
12005,"Bay","2023-09-09",26.25,1030
12005,"Bay","2023-09-10",556.25,26.25
12005,"Bay","2023-09-11",143,556.25
12005,"Bay","2023-09-12",561.5,143
12005,"Bay","2023-09-13",8389,561.5
12007,"Bradford","2023-08-26",61.5,NA
12007,"Bradford","2023-08-27",0.5,61.5
12007,"Bradford","2023-08-28",0,0.5
12007,"Bradford","2023-08-29",88.25,0
12007,"Bradford","2023-08-30",13024,88.25
